Count,Pixel_2,Pixel_2,Value_1,Value_2,Value_3,Survived,Pclass,Empty
140,200,300,39,49,46,1,3,1
141,200,300,39,49,46,1,3,1
142,200,300,39,49,46,0,2,1
143,200,300,41,53,50,1,3,1
144,200,300,42,58,51,1,1,1
145,200,300,42,58,51,1,3,1
146,200,300,39,57,50,1,1,1
147,200,300,42,59,55,1,3,1
148,200,300,37,57,52,0,1,1
149,200,300,37,57,52,1,3,1
150,200,300,37,57,52,0,3,1
151,200,300,38,58,53,0,1,1
152,200,300,38,58,53,1,3,1
153,200,300,130,150,145,1,3,1
154,200,300,42,64,54,1,2,1
155,200,300,40,62,52,0,3,1
156,200,300,47,69,59,1,1,1
157,200,300,63,85,75,1,3,1
158,200,300,48,71,63,1,1,1
159,200,300,50,74,64,1,3,1
160,200,300,49,72,64,1,1,1
161,200,300,141,164,156,1,3,1
162,200,300,50,73,65,0,3,1
163,200,300,146,169,161,0,1,1
164,200,300,55,76,68,1,3,1
165,200,300,164,185,177,1,3,1
166,200,300,50,71,63,1,2,1
167,200,300,50,71,63,1,3,1
168,200,300,51,69,62,0,1,1
169,200,300,131,149,142,1,3,1
170,200,300,52,70,63,1,1,1
171,200,300,50,68,61,1,3,1
172,200,300,56,72,65,1,1,1
173,200,300,152,168,161,1,3,1
174,200,300,54,75,67,0,3,1
175,200,300,51,72,64,1,1,1
176,200,300,50,71,63,0,3,1
177,200,300,161,182,174,0,3,1
178,200,300,52,75,67,1,2,1
179,200,300,49,72,64,1,3,1
180,200,300,163,184,176,1,1,1
181,200,300,61,84,76,0,3,1
182,200,300,54,77,69,1,1,1
183,200,300,63,86,78,1,3,1
184,200,300,63,86,78,1,1,1
185,200,300,64,86,81,1,3,1
186,200,300,64,86,81,1,3,1
187,200,300,68,89,88,1,1,1
188,200,300,46,67,66,0,3,1
189,200,300,65,92,86,0,3,1
190,200,300,65,92,86,1,2,1
191,200,300,89,111,108,1,3,1
192,200,300,86,108,105,1,1,1
193,200,300,250,255,255,1,3,1
194,200,300,250,255,255,0,1,1
195,200,300,85,97,94,1,3,1
196,200,300,80,97,93,1,1,1
197,200,300,74,99,91,1,3,1
198,200,300,185,205,200,1,3,1
199,200,300,112,73,52,1,1,1
200,200,300,115,76,55,0,3,1
201,200,300,116,72,52,1,3,1
202,200,300,122,72,51,0,2,1
203,200,300,122,73,49,0,3,1
204,200,300,121,72,48,1,1,1
205,200,300,122,73,49,1,3,1
206,200,300,122,72,51,1,1,1
207,200,300,122,73,49,0,3,1
208,200,300,122,73,49,1,1,1
209,200,300,119,69,48,1,3,1
210,200,300,122,73,49,1,3,1
211,200,300,121,70,51,1,1,1
212,200,300,122,73,49,1,3,1
213,200,300,244,193,174,1,3,1
214,200,300,119,69,48,0,2,1
215,200,300,119,69,48,0,3,1
216,200,300,122,71,52,1,1,1
217,200,300,122,70,54,1,3,1
218,200,300,119,68,49,1,1,1
219,200,300,122,71,52,1,3,1
220,200,300,119,68,49,0,1,1
221,200,300,119,68,49,1,3,1
222,200,300,122,71,52,1,3,1
223,200,300,121,70,51,1,1,1
224,200,300,122,71,52,1,3,1
225,200,300,119,68,49,1,3,1
226,200,300,122,71,52,0,2,1
227,200,300,119,68,49,1,3,1
228,200,300,122,71,52,0,1,1
229,200,300,122,71,52,0,3,1
230,200,300,123,72,53,1,1,1
231,200,300,123,72,53,1,3,1
232,200,300,122,71,52,1,1,1
233,200,300,122,71,52,1,3,1
234,200,300,122,71,52,1,3,1
235,200,300,119,68,49,1,1,1
236,200,300,122,71,52,1,3,1
237,200,300,122,71,52,1,3,1
238,200,300,122,71,52,1,2,1
239,200,300,123,71,55,1,3,1
240,200,300,123,71,55,1,1,1
241,200,300,122,71,52,1,3,1
242,200,300,123,71,55,1,1,1
243,200,300,123,71,55,1,3,1
244,200,300,122,71,52,1,1,1
245,200,300,122,71,52,1,3,1
246,200,300,122,70,54,1,3,1
247,200,300,122,70,54,1,1,1
248,200,300,122,70,54,1,3,1
249,200,300,122,70,54,1,3,1
250,200,300,122,71,52,1,2,1
251,200,300,122,71,52,1,3,1
252,200,300,122,70,54,1,1,1
253,200,300,122,71,52,1,3,1
254,200,300,122,71,52,1,1,1
255,200,300,122,70,54,1,3,1
256,200,300,122,72,51,1,1,1
257,200,300,122,72,51,0,3,1
258,200,300,122,72,51,1,3,1
259,200,300,122,71,52,1,1,1
260,200,300,122,71,52,1,3,1
261,200,300,122,72,51,1,3,1
262,200,300,122,72,51,1,2,1
263,200,300,122,71,52,1,3,1
264,200,300,122,72,51,0,1,1
265,200,300,122,72,51,0,3,1
266,200,300,122,72,51,1,1,1
267,200,300,122,72,51,1,3,1
268,200,300,122,72,51,1,1,1
269,200,300,122,72,51,1,3,1
270,200,300,122,72,51,0,3,1
271,200,300,122,72,51,1,1,1
272,200,300,122,72,51,1,3,1
273,200,300,122,72,51,1,3,1
274,200,300,121,71,50,1,2,1
275,200,300,121,71,50,1,3,1
276,200,300,122,72,51,0,1,1
277,200,300,122,72,51,1,3,1
278,200,300,122,72,51,0,1,1
279,200,300,119,69,48,0,3,1
280,200,300,122,72,51,1,1,1
281,200,300,122,72,51,1,3,1
282,200,300,122,72,51,1,3,1
283,200,300,119,69,48,0,1,1
284,200,300,122,72,51,1,3,1
285,200,300,119,70,46,1,3,1
286,200,300,122,72,51,1,2,1
287,200,300,119,70,46,1,3,1
288,200,300,122,72,51,1,1,1
289,200,300,121,71,50,1,3,1
290,200,300,122,72,51,0,1,1
291,200,300,122,72,51,0,3,1
292,200,300,122,72,51,1,1,1
293,200,300,122,72,51,1,3,1
294,200,300,122,72,51,1,3,1
295,200,300,121,71,50,1,1,1
296,200,300,122,72,51,0,3,1
297,200,300,122,72,51,1,3,1
298,200,300,122,72,51,1,2,1
299,200,300,122,72,51,1,3,1
300,200,300,122,72,51,1,1,1
301,200,300,25,36,44,1,3,1
302,200,300,140,150,162,0,1,1
303,200,300,50,65,95,1,3,1
304,200,300,140,159,190,0,1,1
305,200,300,59,78,109,0,3,1
306,200,300,168,185,215,1,3,1
307,200,300,84,104,126,1,1,1
308,200,300,89,109,131,1,3,1
309,200,300,86,106,128,0,3,1
310,200,300,91,109,131,1,2,1
311,200,300,89,107,129,1,3,1
312,200,300,180,198,220,1,1,1
313,200,300,89,107,127,1,3,1
314,200,300,180,198,220,1,1,1
315,200,300,83,98,133,1,3,1
316,200,300,195,210,245,0,1,1
317,200,300,73,88,123,0,3,1
318,200,300,188,203,238,1,3,1
319,200,300,0,0,25,1,1,1
320,200,300,92,108,135,1,3,1
321,200,300,0,0,27,1,3,1
322,200,300,152,169,194,0,2,1
323,200,300,157,175,197,1,3,1
324,200,300,89,107,129,1,1,1
325,200,300,108,126,148,1,3,1
326,200,300,220,238,255,1,1,1
327,200,300,99,117,139,1,3,1
328,200,300,101,119,141,0,1,1
329,200,300,87,104,129,1,3,1
330,200,300,163,181,208,0,3,1
331,200,300,195,212,242,0,1,1
332,200,300,108,125,155,1,3,1
333,200,300,198,217,248,1,3,1
334,200,300,87,107,136,1,2,1
335,200,300,102,122,151,0,3,1
336,200,300,167,182,212,1,1,1
337,200,300,104,116,147,1,3,1
338,200,300,136,153,183,1,1,1
339,200,300,119,132,160,1,3,1
340,200,300,156,170,189,1,1,1
341,200,300,116,129,152,1,3,1
342,200,300,116,127,148,0,3,1
343,200,300,111,124,145,0,1,1
344,200,300,226,239,255,1,3,1
345,200,300,123,136,157,1,3,1
346,200,300,116,129,150,1,2,1
347,200,300,104,116,147,1,3,1
348,200,300,174,187,210,0,1,1
349,200,300,131,144,172,1,3,1
350,200,300,100,122,151,1,1,1
351,200,300,99,118,149,1,3,1
352,200,300,140,153,181,1,1,1
353,200,300,101,118,143,1,3,1
354,200,300,101,117,144,0,3,1
355,200,300,107,121,147,1,1,1
356,200,300,108,125,150,0,3,1
357,200,300,105,119,145,0,3,1
358,200,300,105,119,145,1,2,1
359,200,300,112,127,150,1,3,1
360,200,300,118,133,154,1,1,1
361,200,300,116,129,152,1,3,1
362,200,300,215,230,253,1,1,1
363,200,300,123,139,158,1,3,1
364,200,300,185,198,221,1,1,1
365,200,300,157,170,191,1,3,1
366,200,300,211,224,245,1,3,1
367,200,300,118,133,154,1,1,1
368,200,300,155,173,193,1,3,1
369,200,300,107,125,152,1,3,1
370,200,300,205,220,250,1,2,1
371,200,300,88,104,131,1,3,1
372,200,300,142,160,180,1,1,1
373,200,300,102,118,145,1,3,1
374,200,300,181,199,226,1,1,1
375,200,300,119,137,164,1,3,1
376,200,300,145,164,189,1,1,1
377,200,300,113,131,153,1,3,1
378,200,300,235,253,255,1,3,1
379,200,300,110,126,153,1,1,1
380,200,300,239,254,255,1,3,1
381,200,300,130,143,166,1,3,1
382,200,300,251,255,255,1,2,1
383,200,300,210,225,248,1,3,1
384,200,300,119,135,162,1,1,1
385,200,300,129,143,169,0,3,1
386,200,300,108,129,155,1,1,1
387,200,300,110,128,155,1,3,1
388,200,300,117,133,165,1,1,1
389,200,300,108,124,151,1,3,1
390,200,300,106,125,150,1,3,1
391,200,300,116,129,157,1,1,1
392,200,300,118,131,159,0,3,1
393,200,300,96,114,141,0,3,1
394,200,300,130,143,171,1,2,1
395,200,300,119,132,160,1,3,1
396,200,300,126,142,169,1,1,1
397,200,300,124,138,164,1,3,1
398,200,300,115,136,162,0,1,1
399,200,300,103,123,152,1,3,1
400,200,300,99,121,157,1,1,1
401,200,300,87,116,152,1,3,1
402,200,300,78,98,132,1,3,1
403,200,300,99,119,153,1,1,1
404,200,300,205,223,255,0,3,1
405,200,300,82,102,136,1,3,1
406,200,300,96,118,147,0,2,1
407,200,300,93,113,147,0,3,1
408,200,300,92,112,146,1,1,1
409,200,300,99,119,153,1,3,1
410,200,300,113,135,171,1,1,1
411,200,300,75,101,145,0,3,1
412,200,300,64,90,134,1,1,1
413,200,300,61,84,129,1,3,1
414,200,300,75,98,143,1,3,1
415,200,300,72,95,142,1,1,1
416,200,300,80,104,146,1,3,1
417,200,300,72,100,139,1,3,1
418,200,300,73,99,136,0,2,1
419,200,300,75,101,138,0,3,1
420,200,300,72,99,140,1,1,1
421,200,300,81,108,141,1,3,1
422,200,300,72,98,135,1,1,1
423,200,300,205,232,255,1,3,1
424,200,300,76,99,144,0,1,1
425,200,300,62,85,130,1,3,1
426,200,300,57,84,125,1,3,1
427,200,300,162,188,232,1,1,1
428,200,300,70,96,142,1,3,1
429,200,300,67,93,139,1,3,1
430,200,300,56,83,124,0,2,1
431,200,300,71,97,143,1,3,1
432,200,300,72,98,142,0,1,1
433,200,300,71,101,147,0,3,1
434,200,300,68,101,144,1,1,1
435,200,300,84,114,160,1,3,1
436,200,300,76,102,153,1,1,1
437,200,300,103,142,202,0,3,1
438,200,300,114,155,220,1,3,1
439,200,300,91,140,210,1,1,1
440,200,300,109,161,235,1,3,1
441,200,300,95,142,232,1,3,1
442,200,300,18,43,91,1,2,1
443,200,300,130,146,160,1,3,1
444,200,300,31,49,69,0,1,1
445,200,300,98,132,186,0,3,1
446,200,300,91,132,219,1,1,1
447,200,300,74,114,197,1,3,1
448,200,300,142,195,255,1,1,1
449,200,300,130,191,255,1,3,1
450,200,300,137,195,255,0,3,1
451,200,300,115,176,255,1,1,1
452,200,300,134,201,255,1,3,1
453,200,300,142,205,255,1,3,1
454,200,300,108,168,245,1,2,1
455,200,300,146,205,255,1,3,1
456,200,300,111,169,251,0,1,1
457,200,300,102,153,255,1,3,1
458,200,300,69,119,219,0,1,1
459,200,300,72,123,225,0,3,1
460,200,300,81,130,232,1,1,1
461,200,300,91,143,231,1,3,1
462,200,300,42,68,138,1,3,1
463,200,300,15,30,80,0,1,1
464,200,300,15,28,70,1,3,1
465,200,300,40,58,106,1,3,1
466,200,300,52,76,127,1,2,1
467,200,300,62,87,140,1,3,1
468,200,300,55,80,140,1,1,1
469,200,300,60,84,147,1,3,1
470,200,300,53,81,140,0,1,1
471,200,300,63,85,143,0,3,1
472,200,300,78,100,158,1,1,1
473,200,300,55,73,127,1,3,1
474,200,300,62,82,136,1,3,1
475,200,300,69,82,132,1,1,1
476,200,300,53,71,125,0,3,1
477,200,300,47,66,123,1,3,1
478,200,300,66,81,136,1,2,1
479,200,300,60,79,136,1,3,1
480,200,300,58,78,141,1,1,1
481,200,300,47,70,135,1,3,1
482,200,300,57,77,145,0,1,1
483,200,300,59,83,146,1,3,1
484,200,300,78,114,195,0,1,1
485,200,300,117,164,255,0,3,1
486,200,300,155,201,255,1,3,1
487,200,300,223,242,255,1,1,1
488,200,300,146,185,245,1,3,1
489,200,300,108,155,255,1,3,1
490,200,300,115,181,255,1,2,1
491,200,300,207,241,255,1,3,1
492,200,300,248,255,255,1,1,1
493,200,300,177,214,255,1,3,1
494,200,300,87,139,252,1,1,1
495,200,300,129,189,255,1,3,1
496,200,300,226,246,255,1,1,1
497,200,300,225,238,255,1,3,1
498,200,300,111,157,255,1,3,1
499,200,300,80,132,240,1,1,1
500,200,300,133,196,255,1,3,1
501,200,300,238,251,255,1,3,1
502,200,300,129,165,234,1,2,1
503,200,300,69,126,238,1,3,1
504,200,300,86,148,255,1,1,1
505,200,300,71,127,230,1,3,1
506,200,300,186,254,255,1,1,1
507,200,300,175,248,255,1,3,1
508,200,300,182,254,255,1,1,1
509,200,300,175,248,255,1,3,1
510,200,300,180,251,255,1,3,1
511,200,300,175,248,255,1,1,1
512,200,300,175,247,255,1,3,1
513,200,300,175,247,255,0,3,1
514,200,300,180,252,255,1,2,1
515,200,300,175,247,255,1,3,1
516,200,300,175,247,255,1,1,1
517,200,300,175,247,255,1,3,1
518,200,300,175,247,255,1,1,1
519,200,300,175,247,255,1,3,1
520,200,300,175,247,255,0,1,1
521,200,300,49,115,87,0,3,1
522,200,300,45,110,84,1,3,1
523,200,300,45,110,84,1,1,1
524,200,300,147,207,184,1,3,1
525,200,300,37,93,68,1,3,1
526,200,300,41,90,66,0,2,1
527,200,300,43,89,66,1,3,1
528,200,300,163,206,188,1,1,1
529,200,300,46,84,67,1,3,1
530,200,300,40,78,61,1,1,1
531,200,300,167,205,188,1,3,1
532,200,300,47,85,68,0,1,1
533,200,300,49,87,70,1,3,1
534,200,300,182,220,203,0,3,1
535,200,300,53,89,72,0,1,1
536,200,300,173,209,192,1,3,1
537,200,300,46,79,63,1,3,1
538,200,300,0,5,0,1,2,1
539,200,300,47,73,58,0,3,1
540,200,300,169,197,182,1,1,1
541,200,300,28,54,39,1,3,1
542,200,300,156,180,165,1,1,1
543,200,300,44,68,53,1,3,1
544,200,300,197,223,208,1,1,1
545,200,300,43,69,54,1,3,1
546,200,300,152,183,167,0,3,1
547,200,300,49,80,64,0,1,1
548,200,300,40,73,57,1,3,1
549,200,300,54,89,74,1,3,1
550,200,300,164,203,188,1,2,1
551,200,300,44,83,68,1,3,1
552,200,300,169,205,188,0,1,1
553,200,300,48,91,73,1,3,1
554,200,300,155,205,186,1,1,1
555,200,300,48,96,77,1,3,1
556,200,300,179,230,206,1,1,1
557,200,300,67,120,96,1,3,1
558,200,300,175,237,214,0,3,1
559,200,300,60,117,95,1,1,1
560,200,300,58,115,93,0,3,1
561,200,300,58,115,88,0,3,1
562,200,300,0,34,13,1,2,1
563,200,300,60,113,89,1,3,1
564,200,300,60,113,89,1,1,1
565,200,300,56,109,85,0,3,1
566,200,300,0,35,11,1,1,1
567,200,300,53,109,84,1,3,1
568,200,300,167,223,198,1,1,1
569,200,300,51,109,84,1,3,1
570,200,300,171,227,202,1,3,1
571,200,300,66,121,99,1,1,1
572,200,300,82,132,113,0,3,1
573,200,300,201,245,229,0,3,1
574,200,300,84,118,106,1,2,1
575,200,300,162,186,181,1,3,1
576,200,300,37,54,52,1,1,1
577,200,300,139,154,152,1,3,1
578,200,300,36,47,48,0,1,1
579,200,300,114,124,123,1,3,1
580,200,300,44,51,52,1,1,1
581,200,300,146,153,154,1,3,1
582,200,300,37,46,47,1,3,1
583,200,300,35,44,45,1,1,1
584,200,300,36,45,46,0,3,1
585,200,300,36,40,42,1,3,1
586,200,300,30,39,40,0,2,1
587,200,300,48,58,57,0,3,1
588,200,300,48,60,57,1,1,1
589,200,300,164,176,173,1,3,1
590,200,300,69,79,76,1,1,1
591,200,300,75,83,80,0,3,1
592,200,300,67,76,70,1,1,1
593,200,300,168,177,171,1,3,1
594,200,300,41,50,44,1,3,1
595,200,300,35,46,40,1,1,1
596,200,300,28,42,34,1,3,1
597,200,300,0,1,0,1,3,1
598,200,300,39,53,45,0,2,1
599,200,300,38,55,46,0,3,1
600,200,300,37,57,45,1,1,1
601,200,300,91,113,103,1,3,1
602,200,300,35,56,42,1,1,1
603,200,300,39,57,45,1,3,1
604,200,300,36,57,43,0,1,1
605,200,300,22,47,34,1,3,1
606,200,300,33,56,43,1,3,1
607,200,300,35,55,43,1,1,1
608,200,300,31,56,43,1,3,1
609,200,300,35,60,47,1,3,1
610,200,300,35,57,47,0,2,1
611,200,300,29,54,41,1,3,1
612,200,300,29,54,41,0,1,1
613,200,300,30,57,44,0,3,1
614,200,300,34,60,50,1,1,1
615,200,300,31,56,43,1,3,1
616,200,300,34,60,50,1,1,1
617,200,300,29,56,43,1,3,1
618,200,300,36,63,50,1,3,1
619,200,300,31,56,43,1,1,1
620,200,300,36,63,50,1,3,1
621,200,300,31,58,45,1,3,1
622,200,300,34,61,48,1,2,1
623,200,300,34,61,48,1,3,1
624,200,300,31,58,45,1,1,1
625,200,300,31,58,45,1,3,1
626,200,300,33,60,47,1,1,1
627,200,300,31,58,45,1,3,1
628,200,300,31,58,45,1,1,1
629,200,300,32,59,46,1,3,1
630,200,300,32,59,46,1,3,1
631,200,300,30,57,44,1,1,1
632,200,300,32,59,46,1,3,1
633,200,300,32,59,46,1,3,1
634,200,300,31,58,45,1,2,1
635,200,300,31,58,45,1,3,1
636,200,300,31,58,45,1,1,1
637,200,300,31,58,45,1,3,1
638,200,300,31,58,45,1,1,1
639,200,300,31,58,45,1,3,1
640,200,300,31,58,45,1,1,1
641,200,300,0,12,0,0,3,1
642,200,300,32,59,46,1,3,1
643,200,300,67,94,81,1,1,1
644,200,300,32,59,46,1,3,1
645,200,300,0,9,0,1,3,1
646,200,300,30,60,46,1,2,1
647,200,300,32,59,46,1,3,1
648,200,300,30,60,46,0,1,1
649,200,300,33,60,47,0,3,1
650,200,300,30,60,46,1,1,1
651,200,300,33,60,47,1,3,1
652,200,300,30,60,46,1,1,1
653,200,300,33,60,47,1,3,1
654,200,300,30,60,46,0,3,1
655,200,300,35,60,47,1,1,1
656,200,300,30,60,46,1,3,1
657,200,300,33,60,47,1,3,1
658,200,300,33,60,47,1,2,1
659,200,300,33,60,47,1,3,1
660,200,300,33,60,47,0,1,1
661,200,300,33,60,47,1,3,1
662,200,300,34,33,43,0,1,1
663,200,300,33,33,40,0,3,1
664,200,300,34,34,41,1,1,1
665,200,300,35,35,42,1,3,1
666,200,300,35,35,42,1,3,1
667,200,300,40,41,46,0,1,1
668,200,300,31,32,37,1,3,1
669,200,300,33,34,39,1,3,1
670,200,300,31,32,37,1,2,1
671,200,300,33,40,41,1,3,1
672,200,300,34,41,42,1,1,1
673,200,300,31,40,41,1,3,1
674,200,300,31,40,41,0,1,1
675,200,300,34,43,44,0,3,1
676,200,300,36,45,46,1,1,1
677,200,300,37,44,45,1,3,1
678,200,300,43,51,48,1,3,1
679,200,300,36,48,47,1,1,1
680,200,300,39,51,50,0,3,1
681,200,300,36,48,47,1,3,1
682,200,300,34,47,41,1,2,1
683,200,300,31,47,40,1,3,1
684,200,300,32,48,41,1,1,1
685,200,300,28,44,37,1,3,1
686,200,300,30,46,39,0,1,1
687,200,300,27,48,40,1,3,1
688,200,300,30,47,43,0,1,1
689,200,300,28,49,41,0,3,1
690,200,300,30,51,43,1,3,1
691,200,300,34,55,47,1,1,1
692,200,300,38,56,49,1,3,1
693,200,300,37,58,50,0,3,1
694,200,300,40,61,53,1,2,1
695,200,300,36,59,51,1,3,1
696,200,300,36,57,49,1,1,1
697,200,300,36,59,51,1,3,1
698,200,300,149,172,164,1,1,1
699,200,300,38,61,53,1,3,1
700,200,300,41,64,56,0,1,1
701,200,300,40,63,55,0,3,1
702,200,300,145,168,160,1,3,1
703,200,300,52,75,67,1,1,1
704,200,300,62,85,77,1,3,1
705,200,300,53,76,68,1,3,1
706,200,300,51,68,64,0,2,1
707,200,300,41,64,56,1,3,1
708,200,300,41,62,54,1,1,1
709,200,300,43,65,55,1,3,1
710,200,300,38,60,50,1,1,1
711,200,300,44,66,56,1,3,1
712,200,300,45,66,58,0,1,1
713,200,300,44,65,57,1,3,1
714,200,300,136,157,149,0,3,1
715,200,300,43,64,56,0,1,1
716,200,300,51,72,64,1,3,1
717,200,300,49,70,62,1,3,1
718,200,300,150,171,163,1,2,1
719,200,300,51,69,62,0,3,1
720,200,300,52,70,63,1,1,1
721,200,300,53,71,64,1,3,1
722,200,300,149,167,160,1,1,1
723,200,300,46,64,57,1,3,1
724,200,300,174,192,185,1,1,1
725,200,300,59,80,72,1,3,1
726,200,300,169,190,182,0,3,1
727,200,300,62,85,77,0,1,1
728,200,300,62,85,77,1,3,1
729,200,300,63,84,76,1,3,1
730,200,300,63,84,76,1,2,1
731,200,300,55,78,70,1,3,1
732,200,300,54,77,69,0,1,1
733,200,300,59,83,78,1,3,1
734,200,300,180,204,199,1,1,1
735,200,300,68,96,87,1,3,1
736,200,300,79,107,98,1,1,1
737,200,300,79,104,96,1,3,1
738,200,300,197,222,214,0,3,1
739,200,300,77,102,94,1,1,1
740,200,300,80,105,97,0,3,1
741,200,300,72,97,89,0,3,1
742,200,300,188,217,206,1,2,1
743,200,300,61,87,77,1,3,1
744,200,300,61,87,77,1,1,1
745,200,300,57,83,73,1,3,1
746,200,300,168,191,183,1,1,1
747,200,300,60,85,77,1,3,1
748,200,300,59,82,74,1,1,1
749,200,300,62,85,77,1,3,1
750,200,300,61,81,76,1,3,1
751,200,300,58,78,73,1,1,1
752,200,300,154,176,171,1,3,1
753,200,300,67,82,78,1,3,1
754,200,300,69,84,80,1,2,1
755,200,300,162,184,179,1,3,1
756,200,300,74,86,85,1,1,1
757,200,300,56,65,66,1,3,1
758,200,300,42,54,53,1,1,1
759,200,300,77,89,88,1,3,1
760,200,300,33,48,44,1,1,1
761,200,300,32,47,43,1,3,1
762,200,300,30,45,41,1,3,1
763,200,300,90,105,101,1,1,1
764,200,300,32,47,43,1,3,1
765,200,300,33,48,44,1,3,1
766,200,300,33,49,42,1,2,1
767,200,300,37,53,46,1,3,1
768,200,300,33,45,44,1,1,1
769,200,300,34,44,43,0,3,1
770,200,300,22,34,31,1,1,1
771,200,300,21,33,30,1,3,1
772,200,300,19,31,28,1,1,1
